LD,Velocity (km/s),a (degrees),$ (degrees),DI
1,2.15,75,30,0.91151
1,2.15,75,15,0.98681
1,2.15,60,60,0.58066
1,2.15,60,45,0.76922
1,2.15,60,30,0.89185
1,2.15,60,15,0.99531
1,2.15,45,60,0.58455
1,2.15,45,45,0.75682
1,2.15,45,30,0.90294
1,2.15,45,15,0.95387
1,2.15,30,60,0.58031
1,2.15,30,45,0.74881
1,2.15,30,30,0.8945
1,2.15,30,15,0.97436
1,2.15,15,60,0.58563
1,2.15,15,45,0.77833
1,2.15,15,30,0.89762
1,2.15,15,15,0.98169
1,2.15,0,60,0.57935
1,2.15,0,45,0.77941
1,2.15,0,30,0.92183
1,2.15,0,15,0.98294
1,2.15,-15,60,0.59402
1,2.15,-15,45,0.76727
1,2.15,-15,30,0.94243
1,2.15,-15,15,0.97479
1,2.15,-30,60,0.59412
1,2.15,-30,45,0.76834
1,2.15,-30,30,0.92386
1,2.15,-30,15,1.00292
1,2.15,-45,60,0.57638
1,2.15,-45,45,0.76518
1,2.15,-45,30,0.90944
1,2.15,-45,15,1.00055
1,2.15,-60,60,0.57057
1,2.15,-60,45,0.75583
1,2.15,-60,30,0.90938
1,2.15,-60,15,0.97341
1,2.15,-75,60,0.56516
1,2.15,-75,45,0.76076
1,2.15,-75,30,0.9175
1,2.15,-75,15,0.99298
1,2.15,-90,60,0.56859
1,2.15,-90,45,0.75091
1,2.15,-90,30,0.92972
1,2.15,-90,15,0.98524
2,0.25,90,60,0.00649
2,0.25,90,45,0.01109
2,0.25,90,30,0.01821
2,0.25,90,15,0.02181
2,0.25,75,60,0.00727
2,0.25,75,45,0.01242
2,0.25,75,30,0.01853
2,0.25,75,15,0.0225
2,0.25,60,60,0.00798
2,0.25,60,45,0.01357
2,0.25,60,30,0.0191
2,0.25,60,15,0.02218
2,0.25,45,60,0.00306
2,0.25,45,45,0.01138
2,0.25,45,30,0.02272
2,0.25,45,15,0.02383
2,0.25,30,60,0.00323
2,0.25,30,45,0.01288
2,0.25,30,30,0.0193
2,0.25,30,15,0.02774
2,0.25,15,60,0.0032
2,0.25,15,45,0.01171
2,0.25,15,30,0.02072
2,0.25,15,15,0.0284
2,0.25,0,60,0.00475
2,0.25,0,45,0.01055
2,0.25,0,30,0.02207
2,0.25,0,15,0.02685
2,0.25,-15,60,0.00463
2,0.25,-15,45,0.01059
2,0.25,-15,30,0.02006
2,0.25,-15,15,0.02687
2,0.25,-30,60,0.00183
2,0.25,-30,45,0.00988
2,0.25,-30,30,0.01876
2,0.25,-30,15,0.02666
2,0.25,-45,60,0.00081
2,0.25,-45,45,0.00596
2,0.25,-45,30,0.01415
2,0.25,-45,15,0.02189
2,0.25,-60,60,0.002
2,0.25,-60,45,0.00605
2,0.25,-60,30,0.01296
2,0.25,-60,15,0.01982
2,0.25,-75,60,0.00307
2,0.25,-75,45,0.0095
2,0.25,-75,30,0.01518
2,0.25,-75,15,0.0197
2,0.25,-90,60,0.00649
2,0.25,-90,45,0.01109
2,0.25,-90,30,0.01821
2,0.25,-90,15,0.02181
2,0.5,90,60,0.07121
2,0.5,90,45,0.10805
2,0.5,90,30,0.12635
2,0.5,90,15,0.13174
2,0.5,75,60,0.0784
2,0.5,75,45,0.11399
2,0.5,75,30,0.13432
2,0.5,75,15,0.13617
2,0.5,60,60,0.08909
2,0.5,60,45,0.12459
2,0.5,60,30,0.13789
2,0.5,60,15,0.14001
2,0.5,45,60,0.0737
2,0.5,45,45,0.12889
2,0.5,45,30,0.1405
2,0.5,45,15,0.14776
2,0.5,30,60,0.06227
2,0.5,30,45,0.11579
2,0.5,30,30,0.14563
2,0.5,30,15,0.15365
2,0.5,15,60,0.05006
2,0.5,15,45,0.11541
2,0.5,15,30,0.14458
2,0.5,15,15,0.15668
2,0.5,0,60,0.06441
2,0.5,0,45,0.11147
2,0.5,0,30,0.14328
2,0.5,0,15,0.15796
2,0.5,-15,60,0.06292
2,0.5,-15,45,0.1089
2,0.5,-15,30,0.13457
2,0.5,-15,15,0.15124
2,0.5,-30,60,0.05937
2,0.5,-30,45,0.11416
2,0.5,-30,30,0.13357
2,0.5,-30,15,0.14494
2,0.5,-45,60,0.05186
2,0.5,-45,45,0.11527
2,0.5,-45,30,0.13458
2,0.5,-45,15,0.14072
2,0.5,-60,60,0.05419
2,0.5,-60,45,0.10495
2,0.5,-60,30,0.13058
2,0.5,-60,15,0.13972
2,0.5,-75,60,0.05972
2,0.5,-75,45,0.10412
2,0.5,-75,30,0.12818
2,0.5,-75,15,0.13609
2,0.5,-90,60,0.07121
2,0.5,-90,45,0.10805
2,0.5,-90,30,0.12635
